locus_tag	ftype	length_bp	gene	EC_number	COG	product
NMMJGDOI_00248	CDS	150	gatA_3	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
NMMJGDOI_00248	gene	150	gatA_3			
NMMJGDOI_00249	CDS	438	gatC	6.3.5.-		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
NMMJGDOI_00249	gene	438	gatC			
NMMJGDOI_00250	CDS	966				hypothetical protein
NMMJGDOI_00250	gene	966				
NMMJGDOI_00251	CDS	342	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
NMMJGDOI_00251	gene	342	ung			
NMMJGDOI_00252	CDS	267				hypothetical protein
NMMJGDOI_00252	gene	267				
NMMJGDOI_00253	CDS	192				hypothetical protein
NMMJGDOI_00253	gene	192				
NMMJGDOI_00254	CDS	1044				hypothetical protein
NMMJGDOI_00254	gene	1044				
NMMJGDOI_00255	CDS	171				hypothetical protein
NMMJGDOI_00255	gene	171				
NMMJGDOI_00256	CDS	627				hypothetical protein
NMMJGDOI_00256	gene	627				
NMMJGDOI_00257	CDS	411				hypothetical protein
NMMJGDOI_00257	gene	411				
NMMJGDOI_00258	CDS	768	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
NMMJGDOI_00258	gene	768	dnaC			
NMMJGDOI_00259	CDS	636				hypothetical protein
NMMJGDOI_00259	gene	636				
NMMJGDOI_00260	CDS	450	rplI		COG0359	50S ribosomal protein L9
NMMJGDOI_00260	gene	450	rplI			
NMMJGDOI_00261	CDS	315	rpsR		COG0238	30S ribosomal protein S18
NMMJGDOI_00261	gene	315	rpsR			
NMMJGDOI_00262	CDS	501	ssb		COG0629	Single-stranded DNA-binding protein
NMMJGDOI_00262	gene	501	ssb			
NMMJGDOI_00263	CDS	648	rpsF			30S ribosomal protein S6
NMMJGDOI_00263	gene	648	rpsF			
NMMJGDOI_00264	CDS	1686	fusA_1		COG0480	Elongation factor G
NMMJGDOI_00264	gene	1686	fusA_1			
NMMJGDOI_00265	CDS	360	fusA_2		COG0480	Elongation factor G
NMMJGDOI_00265	gene	360	fusA_2			
NMMJGDOI_00266	CDS	156	rpsG_1			30S ribosomal protein S7
NMMJGDOI_00266	gene	156	rpsG_1			
NMMJGDOI_00267	CDS	306	rpsG_2		COG0049	30S ribosomal protein S7
NMMJGDOI_00267	gene	306	rpsG_2			
NMMJGDOI_00268	CDS	420	rpsL		COG0048	30S ribosomal protein S12
NMMJGDOI_00268	gene	420	rpsL			
NMMJGDOI_00269	CDS	183				hypothetical protein
NMMJGDOI_00269	gene	183				
NMMJGDOI_00270	CDS	813	lgt	2.4.99.-	COG0682	Prolipoprotein diacylglyceryl transferase
NMMJGDOI_00270	gene	813	lgt			
NMMJGDOI_00271	CDS	939	hprK	2.7.11.-		HPr kinase/phosphorylase
NMMJGDOI_00271	gene	939	hprK			
NMMJGDOI_00272	CDS	279				hypothetical protein
NMMJGDOI_00272	gene	279				
NMMJGDOI_00273	CDS	99				hypothetical protein
NMMJGDOI_00273	gene	99				
NMMJGDOI_00274	CDS	210	tilS	6.3.4.19		tRNA(Ile)-lysidine synthase
NMMJGDOI_00274	gene	210	tilS			
NMMJGDOI_00275	CDS	306	pth_1	3.1.1.29		Peptidyl-tRNA hydrolase
NMMJGDOI_00275	gene	306	pth_1			
NMMJGDOI_00276	CDS	225	pth_2	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
NMMJGDOI_00276	gene	225	pth_2			
NMMJGDOI_00277	CDS	327	rplA_1		COG0081	50S ribosomal protein L1
NMMJGDOI_00277	gene	327	rplA_1			
NMMJGDOI_00278	CDS	318	rplA_2		COG0081	50S ribosomal protein L1
NMMJGDOI_00278	gene	318	rplA_2			
NMMJGDOI_00279	CDS	414	rplK		COG0080	50S ribosomal protein L11
NMMJGDOI_00279	gene	414	rplK			
NMMJGDOI_00280	CDS	570	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NMMJGDOI_00280	gene	570	oppF_1			
NMMJGDOI_00281	CDS	147				hypothetical protein
NMMJGDOI_00281	gene	147				
NMMJGDOI_00282	CDS	990				hypothetical protein
NMMJGDOI_00282	gene	990				
NMMJGDOI_00283	CDS	798	oppF_2		COG4608	Oligopeptide transport ATP-binding protein OppF
NMMJGDOI_00283	gene	798	oppF_2			
NMMJGDOI_00284	CDS	951	oppD		COG0444	Oligopeptide transport ATP-binding protein OppD
NMMJGDOI_00284	gene	951	oppD			
NMMJGDOI_00285	CDS	300	sapD		COG4170	Putrescine export system ATP-binding protein SapD
NMMJGDOI_00285	gene	300	sapD			
NMMJGDOI_00286	CDS	267				hypothetical protein
NMMJGDOI_00286	gene	267				
NMMJGDOI_00287	CDS	210				hypothetical protein
NMMJGDOI_00287	gene	210				
NMMJGDOI_00288	CDS	324				hypothetical protein
NMMJGDOI_00288	gene	324				
NMMJGDOI_00289	CDS	138				hypothetical protein
NMMJGDOI_00289	gene	138				
NMMJGDOI_00290	CDS	174				hypothetical protein
NMMJGDOI_00290	gene	174				
NMMJGDOI_00291	CDS	741			COG0601	Putative peptide transport permease protein
NMMJGDOI_00291	gene	741				
NMMJGDOI_00292	CDS	201				hypothetical protein
NMMJGDOI_00292	gene	201				
NMMJGDOI_00293	CDS	219				hypothetical protein
NMMJGDOI_00293	gene	219				
NMMJGDOI_00294	CDS	234				hypothetical protein
NMMJGDOI_00294	gene	234				
NMMJGDOI_00295	CDS	165				hypothetical protein
NMMJGDOI_00295	gene	165				
NMMJGDOI_00296	CDS	2889				hypothetical protein
NMMJGDOI_00296	gene	2889				
NMMJGDOI_00297	CDS	408				hypothetical protein
NMMJGDOI_00297	gene	408				
NMMJGDOI_00298	CDS	1974	uvrB			UvrABC system protein B
NMMJGDOI_00298	gene	1974	uvrB			
NMMJGDOI_00299	CDS	210				hypothetical protein
NMMJGDOI_00299	gene	210				
NMMJGDOI_00300	CDS	2163	secA		COG0653	Protein translocase subunit SecA
NMMJGDOI_00300	gene	2163	secA			
NMMJGDOI_00301	CDS	183				hypothetical protein
NMMJGDOI_00301	gene	183				
NMMJGDOI_00302	CDS	210				hypothetical protein
NMMJGDOI_00302	gene	210				
NMMJGDOI_00303	CDS	396	pacL	3.6.3.8	COG0474	Calcium-transporting ATPase
NMMJGDOI_00303	gene	396	pacL			
NMMJGDOI_00304	CDS	852		3.6.3.8		Calcium-transporting ATPase 1
NMMJGDOI_00304	gene	852				
NMMJGDOI_00305	CDS	555	yoaB	3.6.3.8	COG0474	Calcium-transporting ATPase 1
NMMJGDOI_00305	gene	555	yoaB			
NMMJGDOI_00306	CDS	549	rpsB_1		COG0052	30S ribosomal protein S2
NMMJGDOI_00306	gene	549	rpsB_1			
NMMJGDOI_00307	CDS	336	rpsB_2			30S ribosomal protein S2
NMMJGDOI_00307	gene	336	rpsB_2			
NMMJGDOI_00308	CDS	1140	ptsG_1	2.7.1.199		PTS system glucose-specific EIICBA component
NMMJGDOI_00308	gene	1140	ptsG_1			
NMMJGDOI_00309	CDS	459	ptsG_2	2.7.1.199		PTS system glucose-specific EIICBA component
NMMJGDOI_00309	gene	459	ptsG_2			
NMMJGDOI_00310	CDS	327	glcB		COG2190	PTS system glucoside-specific EIICBA component
NMMJGDOI_00310	gene	327	glcB			
NMMJGDOI_00311	CDS	225	ptsG_3	2.7.1.199		PTS system glucose-specific EIICBA component
NMMJGDOI_00311	gene	225	ptsG_3			
NMMJGDOI_00312	CDS	435				hypothetical protein
NMMJGDOI_00312	gene	435				
NMMJGDOI_00313	CDS	501	mgpA_1			Adhesin P1
NMMJGDOI_00313	gene	501	mgpA_1			
NMMJGDOI_00314	CDS	258	mgpA_2			Adhesin P1
NMMJGDOI_00314	gene	258	mgpA_2			
NMMJGDOI_00315	CDS	117				hypothetical protein
NMMJGDOI_00315	gene	117				
NMMJGDOI_00316	CDS	447	mgpA_3			Adhesin P1
NMMJGDOI_00316	gene	447	mgpA_3			
NMMJGDOI_00317	CDS	696	ktrA		COG0569	Ktr system potassium uptake protein A
NMMJGDOI_00317	gene	696	ktrA			
NMMJGDOI_00318	CDS	387	ktrB_1		COG0168	Ktr system potassium uptake protein B
NMMJGDOI_00318	gene	387	ktrB_1			
NMMJGDOI_00319	CDS	750				hypothetical protein
NMMJGDOI_00319	gene	750				
NMMJGDOI_00320	CDS	480	ktrB_2		COG0168	Ktr system potassium uptake protein B
NMMJGDOI_00320	gene	480	ktrB_2			
NMMJGDOI_00321	tRNA	75				tRNA-Asn(gtt)
NMMJGDOI_00321	gene	75				
NMMJGDOI_00322	tRNA	77				tRNA-Glu(ttc)
NMMJGDOI_00322	gene	77				
NMMJGDOI_00323	tRNA	75				tRNA-Thr(cgt)
NMMJGDOI_00323	gene	75				
NMMJGDOI_00324	tRNA	76				tRNA-Val(tac)
NMMJGDOI_00324	gene	76				
NMMJGDOI_00325	tRNA	76				tRNA-Thr(tgt)
NMMJGDOI_00325	gene	76				
NMMJGDOI_00326	tRNA	76				tRNA-Lys(ctt)
NMMJGDOI_00326	gene	76				
NMMJGDOI_00327	tRNA	85				tRNA-Leu(tag)
NMMJGDOI_00327	gene	85				
NMMJGDOI_00328	CDS	405				putative lipoprotein MG321 
NMMJGDOI_00328	gene	405				
NMMJGDOI_00329	CDS	387				putative lipoprotein MG321 
NMMJGDOI_00329	gene	387				
NMMJGDOI_00330	CDS	327				putative lipoprotein MG321 
NMMJGDOI_00330	gene	327				
NMMJGDOI_00331	CDS	474				putative lipoprotein MG321 
NMMJGDOI_00331	gene	474				
NMMJGDOI_00332	CDS	225				putative lipoprotein MG321 
NMMJGDOI_00332	gene	225				
NMMJGDOI_00333	CDS	318				putative lipoprotein MG321 
NMMJGDOI_00333	gene	318				
NMMJGDOI_00334	CDS	408				putative lipoprotein MG321 
NMMJGDOI_00334	gene	408				
NMMJGDOI_00335	CDS	378				putative lipoprotein MG321 
NMMJGDOI_00335	gene	378				
NMMJGDOI_00336	CDS	456				putative lipoprotein MG321 
NMMJGDOI_00336	gene	456				
NMMJGDOI_00337	CDS	636				putative lipoprotein MG321 
NMMJGDOI_00337	gene	636				
NMMJGDOI_00338	CDS	594				putative lipoprotein MG321 
NMMJGDOI_00338	gene	594				
NMMJGDOI_00339	tRNA	89				tRNA-Ser(cga)
NMMJGDOI_00339	gene	89				
NMMJGDOI_00340	tRNA	91				tRNA-Ser(gga)
NMMJGDOI_00340	gene	91				
NMMJGDOI_00341	CDS	522				hypothetical protein
NMMJGDOI_00341	gene	522				
NMMJGDOI_00342	CDS	303				hypothetical protein
NMMJGDOI_00342	gene	303				
NMMJGDOI_00343	CDS	582				hypothetical protein
NMMJGDOI_00343	gene	582				
NMMJGDOI_00344	CDS	777				hypothetical protein
NMMJGDOI_00344	gene	777				
NMMJGDOI_00345	CDS	1428	hmw3_1			Cytadherence high molecular weight protein 3
NMMJGDOI_00345	gene	1428	hmw3_1			
NMMJGDOI_00346	CDS	237	hmw3_2			Cytadherence high molecular weight protein 3
NMMJGDOI_00346	gene	237	hmw3_2			
NMMJGDOI_00347	CDS	267	hmw3_3			Cytadherence high molecular weight protein 3
NMMJGDOI_00347	gene	267	hmw3_3			
NMMJGDOI_00348	CDS	135				hypothetical protein
NMMJGDOI_00348	gene	135				
NMMJGDOI_00349	CDS	321				hypothetical protein
NMMJGDOI_00349	gene	321				
NMMJGDOI_00350	CDS	135				hypothetical protein
NMMJGDOI_00350	gene	135				
NMMJGDOI_00351	CDS	723				hypothetical protein
NMMJGDOI_00351	gene	723				
NMMJGDOI_00352	CDS	588				hypothetical protein
NMMJGDOI_00352	gene	588				
NMMJGDOI_00353	CDS	726				hypothetical protein
NMMJGDOI_00353	gene	726				
NMMJGDOI_00354	CDS	267				hypothetical protein
NMMJGDOI_00354	gene	267				
NMMJGDOI_00355	CDS	144				hypothetical protein
NMMJGDOI_00355	gene	144				
NMMJGDOI_00356	CDS	282				hypothetical protein
NMMJGDOI_00356	gene	282				
NMMJGDOI_00357	CDS	378	hmw1_1			Cytadherence high molecular weight protein 1
NMMJGDOI_00357	gene	378	hmw1_1			
NMMJGDOI_00358	CDS	1398	hmw1_2			Cytadherence high molecular weight protein 1
NMMJGDOI_00358	gene	1398	hmw1_2			
NMMJGDOI_00359	CDS	1005	hmw1_3			Cytadherence high molecular weight protein 1
NMMJGDOI_00359	gene	1005	hmw1_3			
NMMJGDOI_00360	CDS	618	rpsD			30S ribosomal protein S4
NMMJGDOI_00360	gene	618	rpsD			
NMMJGDOI_00361	CDS	156				hypothetical protein
NMMJGDOI_00361	gene	156				
NMMJGDOI_00362	CDS	630	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
NMMJGDOI_00362	gene	630	menH_1			
NMMJGDOI_00363	CDS	423				hypothetical protein
NMMJGDOI_00363	gene	423				
NMMJGDOI_00364	CDS	1797				hypothetical protein
NMMJGDOI_00364	gene	1797				
NMMJGDOI_00365	CDS	270				hypothetical protein
NMMJGDOI_00365	gene	270				
NMMJGDOI_00366	CDS	210				hypothetical protein
NMMJGDOI_00366	gene	210				
NMMJGDOI_00367	CDS	1023				hypothetical protein
NMMJGDOI_00367	gene	1023				
NMMJGDOI_00368	CDS	456	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
NMMJGDOI_00368	gene	456	yfmL			
NMMJGDOI_00369	CDS	303	dbpA_1	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
NMMJGDOI_00369	gene	303	dbpA_1			
NMMJGDOI_00370	CDS	333	cshB	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshB
NMMJGDOI_00370	gene	333	cshB			
NMMJGDOI_00371	CDS	201				hypothetical protein
NMMJGDOI_00371	gene	201				
NMMJGDOI_00372	CDS	402				hypothetical protein
NMMJGDOI_00372	gene	402				
NMMJGDOI_00373	CDS	171				hypothetical protein
NMMJGDOI_00373	gene	171				
NMMJGDOI_00374	CDS	525				hypothetical protein
NMMJGDOI_00374	gene	525				
NMMJGDOI_00375	CDS	393				hypothetical protein
NMMJGDOI_00375	gene	393				
NMMJGDOI_00376	CDS	240				hypothetical protein
NMMJGDOI_00376	gene	240				
NMMJGDOI_00377	CDS	222				hypothetical protein
NMMJGDOI_00377	gene	222				
NMMJGDOI_00378	CDS	219				hypothetical protein
NMMJGDOI_00378	gene	219				
NMMJGDOI_00379	CDS	1032				hypothetical protein
NMMJGDOI_00379	gene	1032				
NMMJGDOI_00380	CDS	384				hypothetical protein
NMMJGDOI_00380	gene	384				
NMMJGDOI_00381	CDS	246				hypothetical protein
NMMJGDOI_00381	gene	246				
NMMJGDOI_00382	CDS	390				hypothetical protein
NMMJGDOI_00382	gene	390				
NMMJGDOI_00383	CDS	537				hypothetical protein
NMMJGDOI_00383	gene	537				
NMMJGDOI_00384	CDS	183				hypothetical protein
NMMJGDOI_00384	gene	183				
NMMJGDOI_00385	CDS	153				hypothetical protein
NMMJGDOI_00385	gene	153				
NMMJGDOI_00386	CDS	627				hypothetical protein
NMMJGDOI_00386	gene	627				
NMMJGDOI_00387	CDS	366				hypothetical protein
NMMJGDOI_00387	gene	366				
NMMJGDOI_00388	CDS	186				hypothetical protein
NMMJGDOI_00388	gene	186				
NMMJGDOI_00389	CDS	1089				hypothetical protein
NMMJGDOI_00389	gene	1089				
NMMJGDOI_00390	CDS	1455				hypothetical protein
NMMJGDOI_00390	gene	1455				
NMMJGDOI_00391	CDS	168				hypothetical protein
NMMJGDOI_00391	gene	168				
NMMJGDOI_00392	CDS	156				hypothetical protein
NMMJGDOI_00392	gene	156				
NMMJGDOI_00393	CDS	102				hypothetical protein
NMMJGDOI_00393	gene	102				
NMMJGDOI_00394	CDS	318				hypothetical protein
NMMJGDOI_00394	gene	318				
NMMJGDOI_00395	CDS	1728	dnaK		COG0443	Chaperone protein DnaK
NMMJGDOI_00395	gene	1728	dnaK			
NMMJGDOI_00396	CDS	711	ecfA1_2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA1
NMMJGDOI_00396	gene	711	ecfA1_2			
NMMJGDOI_00397	CDS	930	ecfA2_1	3.6.3.-		Energy-coupling factor transporter ATP-binding protein EcfA2
NMMJGDOI_00397	gene	930	ecfA2_1			
NMMJGDOI_00398	CDS	573	ecfT_1		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
NMMJGDOI_00398	gene	573	ecfT_1			
NMMJGDOI_00399	CDS	270	gapA_1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
NMMJGDOI_00399	gene	270	gapA_1			
NMMJGDOI_00400	CDS	723	gapA_2	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
NMMJGDOI_00400	gene	723	gapA_2			
NMMJGDOI_00401	CDS	441	pgk_1	2.7.2.3		Phosphoglycerate kinase
NMMJGDOI_00401	gene	441	pgk_1			
NMMJGDOI_00402	CDS	447	pgk/tpi		COG0126	Bifunctional PGK/TIM
NMMJGDOI_00402	gene	447	pgk/tpi			
NMMJGDOI_00403	CDS	315	pgk_2	2.7.2.3		Phosphoglycerate kinase
NMMJGDOI_00403	gene	315	pgk_2			
NMMJGDOI_00404	CDS	873	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
NMMJGDOI_00404	gene	873	pta			
NMMJGDOI_00405	CDS	873	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
NMMJGDOI_00405	gene	873	yidA			
NMMJGDOI_00406	CDS	450	smc_1		COG1196	Chromosome partition protein Smc
NMMJGDOI_00406	gene	450	smc_1			
NMMJGDOI_00407	CDS	2496	smc_2		COG1196	Chromosome partition protein Smc
NMMJGDOI_00407	gene	2496	smc_2			
NMMJGDOI_00408	CDS	558	ftsY_1		COG0552	Signal recognition particle receptor FtsY
NMMJGDOI_00408	gene	558	ftsY_1			
NMMJGDOI_00409	CDS	432	ftsY_2		COG0552	Signal recognition particle receptor FtsY
NMMJGDOI_00409	gene	432	ftsY_2			
NMMJGDOI_00410	CDS	309				hypothetical protein
NMMJGDOI_00410	gene	309				
NMMJGDOI_00411	CDS	390				putative protein MG296 
NMMJGDOI_00411	gene	390				
NMMJGDOI_00412	CDS	267	mnmA_1	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
NMMJGDOI_00412	gene	267	mnmA_1			
NMMJGDOI_00413	CDS	375	mnmA_2	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
NMMJGDOI_00413	gene	375	mnmA_2			
NMMJGDOI_00414	CDS	282	mnmA_3	2.8.1.-		tRNA-specific 2-thiouridylase MnmA
NMMJGDOI_00414	gene	282	mnmA_3			
NMMJGDOI_00415	CDS	411				hypothetical protein
NMMJGDOI_00415	gene	411				
NMMJGDOI_00416	CDS	300				hypothetical protein
NMMJGDOI_00416	gene	300				
NMMJGDOI_00417	CDS	591				hypothetical protein
NMMJGDOI_00417	gene	591				
NMMJGDOI_00418	CDS	507	glpQ	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
NMMJGDOI_00418	gene	507	glpQ			
NMMJGDOI_00419	CDS	147	alaS_1	6.1.1.7	COG0013	Alanine--tRNA ligase
NMMJGDOI_00419	gene	147	alaS_1			
NMMJGDOI_00420	CDS	498	alaS_2	6.1.1.7	COG0013	Alanine--tRNA ligase
NMMJGDOI_00420	gene	498	alaS_2			
NMMJGDOI_00421	CDS	132				hypothetical protein
NMMJGDOI_00421	gene	132				
NMMJGDOI_00422	CDS	546	alaS_3	6.1.1.7		Alanine--tRNA ligase
NMMJGDOI_00422	gene	546	alaS_3			
NMMJGDOI_00423	CDS	252	alaS_4	6.1.1.7	COG0013	Alanine--tRNA ligase
NMMJGDOI_00423	gene	252	alaS_4			
NMMJGDOI_00424	CDS	489				hypothetical protein
NMMJGDOI_00424	gene	489				
NMMJGDOI_00425	CDS	423	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
NMMJGDOI_00425	gene	423	yqgF			
NMMJGDOI_00426	CDS	165				hypothetical protein
NMMJGDOI_00426	gene	165				
NMMJGDOI_00427	CDS	504				hypothetical protein
NMMJGDOI_00427	gene	504				
NMMJGDOI_00428	CDS	219				hypothetical protein
NMMJGDOI_00428	gene	219				
NMMJGDOI_00429	CDS	243				hypothetical protein
NMMJGDOI_00429	gene	243				
NMMJGDOI_00430	CDS	387	phnC	3.6.3.27	COG3638	Phosphate-import ATP-binding protein PhnC
NMMJGDOI_00430	gene	387	phnC			
NMMJGDOI_00431	CDS	303	glnQ			Glutamine transport ATP-binding protein GlnQ
NMMJGDOI_00431	gene	303	glnQ			
NMMJGDOI_00432	CDS	192				High affinity transport system protein p37
NMMJGDOI_00432	gene	192				
NMMJGDOI_00433	CDS	213				High affinity transport system protein p37
NMMJGDOI_00433	gene	213				
NMMJGDOI_00434	CDS	456				High affinity transport system protein p37
NMMJGDOI_00434	gene	456				
NMMJGDOI_00435	CDS	126				hypothetical protein
NMMJGDOI_00435	gene	126				
NMMJGDOI_00436	CDS	267	ptsH			Phosphocarrier protein HPr
NMMJGDOI_00436	gene	267	ptsH			
NMMJGDOI_00437	CDS	438				hypothetical protein
NMMJGDOI_00437	gene	438				
NMMJGDOI_00438	CDS	1014				hypothetical protein
NMMJGDOI_00438	gene	1014				
NMMJGDOI_00439	CDS	264				hypothetical protein
NMMJGDOI_00439	gene	264				
NMMJGDOI_00440	CDS	219				putative protein MG039 
NMMJGDOI_00440	gene	219				
NMMJGDOI_00441	CDS	156				putative protein MG039 
NMMJGDOI_00441	gene	156				
NMMJGDOI_00442	CDS	114				putative protein MG039 
NMMJGDOI_00442	gene	114				
NMMJGDOI_00443	CDS	423				putative protein MG039 
NMMJGDOI_00443	gene	423				
NMMJGDOI_00444	CDS	165	glpK_1	2.7.1.30	COG0554	Glycerol kinase
NMMJGDOI_00444	gene	165	glpK_1			
NMMJGDOI_00445	CDS	90	glpK_2	2.7.1.30		Glycerol kinase
NMMJGDOI_00445	gene	90	glpK_2			
NMMJGDOI_00446	CDS	243	glpK_3	2.7.1.30	COG0554	Glycerol kinase
NMMJGDOI_00446	gene	243	glpK_3			
NMMJGDOI_00447	CDS	399	glpK_4	2.7.1.30	COG0554	Glycerol kinase
NMMJGDOI_00447	gene	399	glpK_4			
NMMJGDOI_00448	CDS	255				hypothetical protein
NMMJGDOI_00448	gene	255				
NMMJGDOI_00449	CDS	789				hypothetical protein
NMMJGDOI_00449	gene	789				
NMMJGDOI_00450	CDS	267				hypothetical protein
NMMJGDOI_00450	gene	267				
NMMJGDOI_00451	CDS	270				hypothetical protein
NMMJGDOI_00451	gene	270				
NMMJGDOI_00452	CDS	120				hypothetical protein
NMMJGDOI_00452	gene	120				
NMMJGDOI_00453	CDS	426				hypothetical protein
NMMJGDOI_00453	gene	426				
NMMJGDOI_00454	CDS	156				hypothetical protein
NMMJGDOI_00454	gene	156				
NMMJGDOI_00455	CDS	756				hypothetical protein
NMMJGDOI_00455	gene	756				
NMMJGDOI_00456	CDS	312				hypothetical protein
NMMJGDOI_00456	gene	312				
NMMJGDOI_00457	CDS	162				hypothetical protein
NMMJGDOI_00457	gene	162				
NMMJGDOI_00458	CDS	402	aspS_1	6.1.1.12		Aspartate--tRNA ligase
NMMJGDOI_00458	gene	402	aspS_1			
NMMJGDOI_00459	CDS	678	aspS_2	6.1.1.23	COG0173	Aspartate--tRNA(Asp/Asn) ligase
NMMJGDOI_00459	gene	678	aspS_2			
NMMJGDOI_00460	CDS	444	aspS1	6.1.1.12	COG0173	Aspartate--tRNA(Asp) ligase
NMMJGDOI_00460	gene	444	aspS1			
NMMJGDOI_00461	CDS	159	hisS_1	6.1.1.21		Histidine--tRNA ligase
NMMJGDOI_00461	gene	159	hisS_1			
NMMJGDOI_00462	CDS	300	hisS_2	6.1.1.21		Histidine--tRNA ligase
NMMJGDOI_00462	gene	300	hisS_2			
NMMJGDOI_00463	CDS	396	hisS_3	6.1.1.21		Histidine--tRNA ligase
NMMJGDOI_00463	gene	396	hisS_3			
NMMJGDOI_00464	CDS	477	tdk	2.7.1.21		Thymidine kinase
NMMJGDOI_00464	gene	477	tdk			
NMMJGDOI_00465	CDS	249	larD		COG0580	D/L-lactic acid transporter
NMMJGDOI_00465	gene	249	larD			
NMMJGDOI_00466	CDS	168				hypothetical protein
NMMJGDOI_00466	gene	168				
NMMJGDOI_00467	CDS	219				hypothetical protein
NMMJGDOI_00467	gene	219				
NMMJGDOI_00468	CDS	465				hypothetical protein
NMMJGDOI_00468	gene	465				
NMMJGDOI_00469	CDS	342				hypothetical protein
NMMJGDOI_00469	gene	342				
NMMJGDOI_00470	CDS	306				hypothetical protein
NMMJGDOI_00470	gene	306				
NMMJGDOI_00471	CDS	222				hypothetical protein
NMMJGDOI_00471	gene	222				
NMMJGDOI_00472	CDS	165				hypothetical protein
NMMJGDOI_00472	gene	165				
NMMJGDOI_00473	CDS	198				hypothetical protein
NMMJGDOI_00473	gene	198				
NMMJGDOI_00474	CDS	459				hypothetical protein
NMMJGDOI_00474	gene	459				
NMMJGDOI_00475	CDS	321				hypothetical protein
NMMJGDOI_00475	gene	321				
NMMJGDOI_00476	CDS	351				hypothetical protein
NMMJGDOI_00476	gene	351				
NMMJGDOI_00477	CDS	276				hypothetical protein
NMMJGDOI_00477	gene	276				
NMMJGDOI_00478	CDS	192				hypothetical protein
NMMJGDOI_00478	gene	192				
NMMJGDOI_00479	CDS	363				hypothetical protein
NMMJGDOI_00479	gene	363				
NMMJGDOI_00480	CDS	441				hypothetical protein
NMMJGDOI_00480	gene	441				
NMMJGDOI_00481	CDS	312				hypothetical protein
NMMJGDOI_00481	gene	312				
NMMJGDOI_00482	CDS	249				hypothetical protein
NMMJGDOI_00482	gene	249				
NMMJGDOI_00483	CDS	222				hypothetical protein
NMMJGDOI_00483	gene	222				
NMMJGDOI_00484	CDS	1152				hypothetical protein
NMMJGDOI_00484	gene	1152				
NMMJGDOI_00485	CDS	435	polC_1	2.7.7.7		DNA polymerase III PolC-type
NMMJGDOI_00485	gene	435	polC_1			
NMMJGDOI_00486	CDS	462	polC_2	2.7.7.7		DNA polymerase III PolC-type
NMMJGDOI_00486	gene	462	polC_2			
NMMJGDOI_00487	CDS	792	polC_3	2.7.7.7		DNA polymerase III PolC-type
NMMJGDOI_00487	gene	792	polC_3			
NMMJGDOI_00488	CDS	927	polC_4	2.7.7.7		DNA polymerase III PolC-type
NMMJGDOI_00488	gene	927	polC_4			
NMMJGDOI_00489	CDS	534	polC_5	2.7.7.7		DNA polymerase III PolC-type
NMMJGDOI_00489	gene	534	polC_5			
NMMJGDOI_00490	CDS	462	polC_6	2.7.7.7		DNA polymerase III PolC-type
NMMJGDOI_00490	gene	462	polC_6			
NMMJGDOI_00491	CDS	621	upp	2.4.2.9		Uracil phosphoribosyltransferase
NMMJGDOI_00491	gene	621	upp			
NMMJGDOI_00492	CDS	327	yfkM	3.2.-.-	COG0693	General stress protein 18
NMMJGDOI_00492	gene	327	yfkM			
NMMJGDOI_00493	CDS	216				hypothetical protein
NMMJGDOI_00493	gene	216				
NMMJGDOI_00494	CDS	210				hypothetical protein
NMMJGDOI_00494	gene	210				
NMMJGDOI_00495	CDS	444			COG0781	putative protein MG027
NMMJGDOI_00495	gene	444				
NMMJGDOI_00496	CDS	573	efp			Elongation factor P
NMMJGDOI_00496	gene	573	efp			
NMMJGDOI_00497	CDS	120				hypothetical protein
NMMJGDOI_00497	gene	120				
NMMJGDOI_00498	CDS	426				hypothetical protein
NMMJGDOI_00498	gene	426				
NMMJGDOI_00499	CDS	222	hyaD	2.4.1.212		Hyaluronan synthase
NMMJGDOI_00499	gene	222	hyaD			
NMMJGDOI_00500	CDS	411				hypothetical protein
NMMJGDOI_00500	gene	411				
NMMJGDOI_00501	CDS	90				hypothetical protein
